date,home_team_abbr,away_team_abbr,home_ml,away_ml
2022-04-07T18:20:00+00:00,CHC,MIL,160,-190
2022-04-07T20:10:00+00:00,KCR,CLE,106,-124
2022-04-07T20:15:00+00:00,STL,PIT,-164,138
2022-04-07T23:05:00+00:00,WSN,NYM,104,-122
2022-04-08T00:08:00+00:00,ATL,CIN,-198,156
2022-04-08T01:38:00+00:00,LAA,HOU,-126,108
2022-04-08T01:40:00+00:00,ARI,SDP,118,-138
2022-04-08T17:05:00+00:00,NYY,BOS,-174,146
2022-04-08T17:10:00+00:00,DET,CHW,180,-235
2022-04-08T18:20:00+00:00,CHC,MIL,130,-154
2022-04-08T19:05:00+00:00,PHI,OAK,-196,164
2022-04-08T19:10:00+00:00,TBR,BAL,-188,158
2022-04-08T20:10:00+00:00,COL,LAD,176,-210
2022-04-08T20:10:00+00:00,MIN,SEA,-118,100
2022-04-08T20:35:00+00:00,SFG,MIA,-156,122
2022-04-08T23:05:00+00:00,WSN,NYM,140,-168
2022-04-08T23:07:00+00:00,TOR,TEX,-172,144
2022-04-08T23:20:00+00:00,ATL,CIN,-196,164
2022-04-09T01:38:00+00:00,LAA,HOU,-134,104
2022-04-09T01:40:00+00:00,ARI,SDP,120,-142
2022-04-09T17:10:00+00:00,TBR,BAL,-225,188
2022-04-09T17:10:00+00:00,DET,CHW,112,-132
2022-04-09T18:10:00+00:00,MIN,SEA,-142,120
2022-04-09T18:15:00+00:00,STL,PIT,-150,118
2022-04-09T18:20:00+00:00,CHC,MIL,108,-138
2022-04-09T19:07:00+00:00,TOR,TEX,-235,180
2022-04-09T20:05:00+00:00,SFG,MIA,-186,144
2022-04-09T20:05:00+00:00,PHI,OAK,-225,172
2022-04-09T20:05:00+00:00,NYY,BOS,-176,138
2022-04-09T20:10:00+00:00,KCR,CLE,-124,106
2022-04-09T23:05:00+00:00,WSN,NYM,-102,-124
2022-04-09T23:20:00+00:00,ATL,CIN,-184,154
2022-04-10T00:10:00+00:00,COL,LAD,132,-156
2022-04-10T00:10:00+00:00,ARI,SDP,140,-166
2022-04-10T01:07:00+00:00,LAA,HOU,-108,-118
2022-04-10T17:05:00+00:00,PHI,OAK,-280,205
2022-04-10T17:10:00+00:00,DET,CHW,112,-132
2022-04-10T17:10:00+00:00,TBR,BAL,-188,158
2022-04-10T17:35:00+00:00,ATL,CIN,-172,144
2022-04-10T17:35:00+00:00,WSN,NYM,118,-138
2022-04-10T17:37:00+00:00,TOR,TEX,-225,174
2022-04-10T18:10:00+00:00,KCR,CLE,-118,100
2022-04-10T18:10:00+00:00,MIN,SEA,-142,120
2022-04-10T18:15:00+00:00,STL,PIT,-270,200
2022-04-10T18:20:00+00:00,CHC,MIL,114,-134
2022-04-10T19:10:00+00:00,COL,LAD,176,-210
2022-04-10T20:05:00+00:00,SFG,MIA,-118,100
2022-04-10T20:07:00+00:00,LAA,HOU,-106,-118
2022-04-10T20:10:00+00:00,ARI,SDP,136,-162
2022-04-10T23:08:00+00:00,NYY,BOS,-146,116
2022-04-11T18:10:00+00:00,KCR,CLE,-108,-108
2022-04-11T18:15:00+00:00,STL,PIT,-198,166
2022-04-11T19:05:00+00:00,BAL,MIL,134,-158
2022-04-11T20:05:00+00:00,TEX,COL,-158,124
2022-04-11T21:10:00+00:00,DET,BOS,102,-120
2022-04-11T22:40:00+00:00,TBR,OAK,-225,188
2022-04-11T22:45:00+00:00,PHI,NYM,-142,112
2022-04-11T23:05:00+00:00,NYY,TOR,-120,102
2022-04-11T23:20:00+00:00,ATL,WSN,-210,160
2022-04-11T23:40:00+00:00,MIN,SEA,-136,116
